   price  quantity  type               timestamp
3  42090  114.3594     0 2024-04-28 18:43:21.511
4  42080  572.9259     0 2024-04-28 18:43:21.511
   price  quantity  type               timestamp
0  42190   75.0000     1 2024-04-28 18:43:21.511
1  42200   51.1767     1 2024-04-28 18:43:21.511
2  42210  265.3411     1 2024-04-28 18:43:21.511
3  42220  111.5024     1 2024-04-28 18:43:21.511
4  42230   38.8505     1 2024-04-28 18:43:21.511
   price  quantity  type               timestamp
0  42120   27.4801     0 2024-04-28 18:43:26.472
1  42110   65.4801     0 2024-04-28 18:43:26.472
2  42100  156.4881     0 2024-04-28 18:43:26.472
3  42090  114.3594     0 2024-04-28 18:43:26.472
4  42080  691.2967     0 2024-04-28 18:43:26.472
   price  quantity  type               timestamp
0  42180   28.3449     1 2024-04-28 18:43:26.472
1  42190   75.0000     1 2024-04-28 18:43:26.472
2  42200   51.1767     1 2024-04-28 18:43:26.472
3  42210  145.4801     1 2024-04-28 18:43:26.472
4  42220  111.5024     1 2024-04-28 18:43:26.472
   price  quantity  type               timestamp
0  42140   27.4801     0 2024-04-28 18:43:31.437
1  42130   27.4801     0 2024-04-28 18:43:31.437
2  42120   65.4801     0 2024-04-28 18:43:31.437
3  42110  102.4801     0 2024-04-28 18:43:31.437
4  42100   81.4881     0 2024-04-28 18:43:31.437
   price  quantity  type               timestamp
0  42180   15.5436     1 2024-04-28 18:43:31.437
1  42190   75.0000     1 2024-04-28 18:43:31.437
2  42200   23.6966     1 2024-04-28 18:43:31.437
3  42210  145.4801     1 2024-04-28 18:43:31.437
4  42220  111.5024     1 2024-04-28 18:43:31.437
   price  quantity  type               timestamp
0  42140   65.4801     0 2024-04-28 18:43:36.396
1  42130  102.4801     0 2024-04-28 18:43:36.396
2  42120  565.7255     0 2024-04-28 18:43:36.396
3  42110  145.4801     0 2024-04-28 18:43:36.396
4  42100   74.9170     0 2024-04-28 18:43:36.396
   price  quantity  type               timestamp
0  42200   10.9515     1 2024-04-28 18:43:36.396
1  42210  193.0000     1 2024-04-28 18:43:36.396
2  42220   84.0223     1 2024-04-28 18:43:36.396
3  42230   28.6643     1 2024-04-28 18:43:36.396
4  42240   27.4801     1 2024-04-28 18:43:36.396
   price   quantity  type               timestamp
0  42160    27.4801     0 2024-04-28 18:43:41.368
1  42150    74.9951     0 2024-04-28 18:43:41.368
2  42140  1112.4715     0 2024-04-28 18:43:41.368
3  42130    52.4801     0 2024-04-28 18:43:41.368
4  42120   574.2577     0 2024-04-28 18:43:41.368
   price  quantity  type               timestamp
0  42200   10.9515     1 2024-04-28 18:43:41.368
1  42220    9.0223     1 2024-04-28 18:43:41.368
2  42230    1.1842     1 2024-04-28 18:43:41.368
3  42240   65.4801     1 2024-04-28 18:43:41.368
4  42250  220.4801     1 2024-04-28 18:43:41.368
   price  quantity  type               timestamp
0  42160   27.4801     0 2024-04-28 18:43:46.348
1  42150   49.9951     0 2024-04-28 18:43:46.348
2  42140  140.7255     0 2024-04-28 18:43:46.348
3  42130   27.4801     0 2024-04-28 18:43:46.348
4  42120  574.5598     0 2024-04-28 18:43:46.348
   price  quantity  type               timestamp
0  42200    8.9550     1 2024-04-28 18:43:46.348
1  42210   38.0000     1 2024-04-28 18:43:46.348
2  42220   84.0223     1 2024-04-28 18:43:46.348
3  42230    1.1842     1 2024-04-28 18:43:46.348
4  42240   27.4801     1 2024-04-28 18:43:46.348
   price  quantity  type               timestamp
0  42160   27.4801     0 2024-04-28 18:43:51.314
1  42150   49.9951     0 2024-04-28 18:43:51.314
2  42140  140.7255     0 2024-04-28 18:43:51.314
3  42130   27.4801     0 2024-04-28 18:43:51.314
4  42120  574.5598     0 2024-04-28 18:43:51.314
   price  quantity  type               timestamp
0  42200    8.9550     1 2024-04-28 18:43:51.314
1  42210   38.0000     1 2024-04-28 18:43:51.314
2  42220   84.0223     1 2024-04-28 18:43:51.314
3  42230    1.1842     1 2024-04-28 18:43:51.314
4  42240   27.4801     1 2024-04-28 18:43:51.314
   price  quantity  type               timestamp
0  42160   27.4801     0 2024-04-28 18:43:56.292
1  42150   49.9951     0 2024-04-28 18:43:56.292
2  42140  140.7255     0 2024-04-28 18:43:56.292
3  42130   27.4801     0 2024-04-28 18:43:56.292
4  42120  552.4801     0 2024-04-28 18:43:56.292
   price  quantity  type               timestamp
0  42200    8.9550     1 2024-04-28 18:43:56.292
1  42210   38.0000     1 2024-04-28 18:43:56.292
2  42220   84.0223     1 2024-04-28 18:43:56.292
3  42230  121.0452     1 2024-04-28 18:43:56.292
4  42240   27.4801     1 2024-04-28 18:43:56.292
   price  quantity  type               timestamp
0  42160   27.4801     0 2024-04-28 18:44:01.248
1  42150   49.9951     0 2024-04-28 18:44:01.248
2  42140  140.7255     0 2024-04-28 18:44:01.248
3  42130   27.4801     0 2024-04-28 18:44:01.248
4  42120  552.4801     0 2024-04-28 18:44:01.248
   price  quantity  type               timestamp
0  42200    8.9550     1 2024-04-28 18:44:01.248
1  42210   38.0000     1 2024-04-28 18:44:01.248
2  42220   84.0223     1 2024-04-28 18:44:01.248
3  42230  121.0452     1 2024-04-28 18:44:01.248
4  42240   27.4801     1 2024-04-28 18:44:01.248
   price  quantity  type               timestamp
0  42160   27.4801     0 2024-04-28 18:44:06.218
1  42150    9.6227     0 2024-04-28 18:44:06.218
2  42140   27.4801     0 2024-04-28 18:44:06.218
3  42130   65.4801     0 2024-04-28 18:44:06.218
4  42120  602.4801     0 2024-04-28 18:44:06.218
   price  quantity  type               timestamp
0  42200  121.9550     1 2024-04-28 18:44:06.218
1  42220  128.8833     1 2024-04-28 18:44:06.218
2  42230    1.1842     1 2024-04-28 18:44:06.218
3  42240   27.4801     1 2024-04-28 18:44:06.218
4  42250  102.4801     1 2024-04-28 18:44:06.218
   price  quantity  type               timestamp
