      price  quantity  type               timestamp
0  91654000    0.0010     0 2024-04-28 18:43:13.170
1  91650000    0.0662     0 2024-04-28 18:43:13.170
2  91641000    0.0040     0 2024-04-28 18:43:13.170
3  91639000    0.0366     0 2024-04-28 18:43:13.170
4  91638000    0.3763     0 2024-04-28 18:43:13.170
      price  quantity  type               timestamp
0  91688000    0.0016     1 2024-04-28 18:43:13.170
1  91689000    0.0004     1 2024-04-28 18:43:13.170
2  91690000    0.6859     1 2024-04-28 18:43:13.170
3  91691000    0.0200     1 2024-04-28 18:43:13.170
4  91692000    0.0202     1 2024-04-28 18:43:13.170
      price  quantity  type               timestamp
0  91650000    0.0628     0 2024-04-28 18:43:18.152
1  91641000    0.0040     0 2024-04-28 18:43:18.152
2  91639000    0.0366     0 2024-04-28 18:43:18.152
3  91638000    0.3763     0 2024-04-28 18:43:18.152
4  91637000    0.1363     0 2024-04-28 18:43:18.152
      price  quantity  type               timestamp
0  91654000    0.2269     1 2024-04-28 18:43:18.152
1  91690000    0.6589     1 2024-04-28 18:43:18.152
2  91691000    0.0200     1 2024-04-28 18:43:18.152
3  91692000    0.0202     1 2024-04-28 18:43:18.152
4  91694000    0.0059     1 2024-04-28 18:43:18.152
      price  quantity  type               timestamp
0  91650000    0.0628     0 2024-04-28 18:43:23.116
1  91641000    0.0040     0 2024-04-28 18:43:23.116
2  91639000    0.0366     0 2024-04-28 18:43:23.116
3  91638000    0.3763     0 2024-04-28 18:43:23.116
4  91637000    0.1363     0 2024-04-28 18:43:23.116
      price  quantity  type               timestamp
0  91653000    0.0050     1 2024-04-28 18:43:23.116
1  91654000    0.2213     1 2024-04-28 18:43:23.116
2  91690000    0.6589     1 2024-04-28 18:43:23.116
3  91691000    0.0200     1 2024-04-28 18:43:23.116
4  91692000    0.0202     1 2024-04-28 18:43:23.116
      price  quantity  type               timestamp
0  91650000    0.0629     0 2024-04-28 18:43:28.074
1  91641000    0.0040     0 2024-04-28 18:43:28.074
2  91638000    0.3150     0 2024-04-28 18:43:28.074
3  91637000    0.0365     0 2024-04-28 18:43:28.074
4  91636000    0.0284     0 2024-04-28 18:43:28.074
      price  quantity  type               timestamp
0  91652000    0.0050     1 2024-04-28 18:43:28.074
1  91654000    0.2213     1 2024-04-28 18:43:28.074
2  91687000    0.0287     1 2024-04-28 18:43:28.074
3  91690000    0.6500     1 2024-04-28 18:43:28.074
4  91691000    0.0200     1 2024-04-28 18:43:28.074
      price  quantity  type               timestamp
0  91650000    0.0629     0 2024-04-28 18:43:33.082
1  91641000    0.0040     0 2024-04-28 18:43:33.082
2  91638000    0.3150     0 2024-04-28 18:43:33.082
3  91633000    0.0100     0 2024-04-28 18:43:33.082
4  91632000    0.0366     0 2024-04-28 18:43:33.082
      price  quantity  type               timestamp
0  91651000    0.0050     1 2024-04-28 18:43:33.082
1  91654000    0.2213     1 2024-04-28 18:43:33.082
2  91682000    0.0287     1 2024-04-28 18:43:33.082
3  91685000    0.0198     1 2024-04-28 18:43:33.082
4  91690000    0.6302     1 2024-04-28 18:43:33.082
      price  quantity  type               timestamp
0  91650000    0.0629     0 2024-04-28 18:43:38.114
1  91641000    0.0040     0 2024-04-28 18:43:38.114
2  91638000    0.0010     0 2024-04-28 18:43:38.114
3  91633000    0.0100     0 2024-04-28 18:43:38.114
4  91629000    0.0376     0 2024-04-28 18:43:38.114
      price  quantity  type               timestamp
0  91651000    0.0050     1 2024-04-28 18:43:38.114
1  91654000    0.2213     1 2024-04-28 18:43:38.114
2  91679000    0.0287     1 2024-04-28 18:43:38.114
3  91682000    0.0198     1 2024-04-28 18:43:38.114
4  91690000    0.6302     1 2024-04-28 18:43:38.114
      price  quantity  type               timestamp
0  91650000    0.0578     0 2024-04-28 18:43:43.086
1  91641000    0.0040     0 2024-04-28 18:43:43.086
2  91638000    0.0010     0 2024-04-28 18:43:43.086
3  91633000    0.0100     0 2024-04-28 18:43:43.086
4  91629000    0.0376     0 2024-04-28 18:43:43.086
      price  quantity  type               timestamp
0  91651000    0.0050     1 2024-04-28 18:43:43.086
